name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu
【リノベーション向き物件登場♪】ツインシティ東砂アネックス 　【マンション】,2680万円,東京都江東区東砂８,東京メトロ東西線「南砂町」歩12分,58.3m,3DK,バルコニー面積：7.28m,1987年11月,2023/01/04 15:45,11eff7f144847d19ae10f004bbfe16184dcb870069ea31f7c8387d89d5beb227,5500円／月（委託(通勤)）,1万950円／月,8階,168戸
キャニオングランデ新高島平 　【マンション】,2699万円,東京都板橋区新河岸３-4-12,都営三田線「新高島平」歩11分,54.45m,2LDK+S（納戸）,バルコニー面積：13.2m,1995年6月,2023/01/04 15:46,bb6a66c0c1ce49ab832ac23c0982c3a26867faf7abd9394d21ff1692d3d08007,1万9140円／月（委託(巡回)）,1万1130円／月,1階,-
日商岩井小島町マンション 　【マンション】,2780万円,東京都江戸川区西葛西６-28-20,東京メトロ東西線「西葛西」歩8分,60.5m,3DK,バルコニー面積：6.6m,1975年9月,2023/01/04 15:46,ff11357c0f9b1d764bb7844631ad2dd063832807fe97117ee3c9af8d689726c7,9300円／月（委託(通勤)）,8500円／月,6階,168戸
ルミネ西六郷 　【マンション】,3280万円,東京都大田区西六郷４-9-1,京急本線「六郷土手」歩4分,63.67m,2LDK,バルコニー面積：6.24m,1984年7月,2023/01/04 15:46,1278513dc298a1f0e720e97617e713daa3b9460df03e495f37ccfa268ceb2690,1万4300円／月（委託(巡回)）,1万8270円／月,1階,22戸
西葛西スカイハイツ 　【マンション】,3290万円,東京都江戸川区西葛西４-2-47,東京メトロ東西線「西葛西」歩8分,53.53m,2LDK,バルコニー面積：8.4m,1978年12月,2023/01/04 15:46,143d44ebc149db1b1ba01455f7e33c54d388e2a9f3cee0bc06ac515d57d369c2,7990円／月（委託(通勤)）,1万1010円／月,3階,122戸
板橋本町アーバンライフ 　【マンション】,3380万円,東京都板橋区本町,都営三田線「板橋本町」歩1分,53.1m,2LDK,バルコニー面積：6.48m,1981年5月,2023/01/04 15:47,ba2679d6cf797e6a8677c61379affc16711e05d8ca98e3543a42004d10f02c66,1万4100円／月（委託(巡回)）,1万6050円／月,3階,32戸
本蓮沼ビューハイツ 　【マンション】,3396万円,東京都北区赤羽西６-12-1,都営三田線「本蓮沼」歩10分,62m,2LDK+S（納戸）,バルコニー面積：6.72m,1982年11月,2023/01/04 15:47,0c8fbef7075e0dc8b0ea77a9b7469f3ea74cb64755cf62103162f4528abd10c8,1万850円／月（委託(通勤)）,1万3020円／月,3階,41戸
スカーラ板橋 　【マンション】,3480万円,東京都板橋区大谷口北町32-3,東京メトロ有楽町線「小竹向原」歩12分,55.96m,3LDK,バルコニー面積：6.19m,1998年1月,2023/01/04 15:47,695d59eeba41eb67b8d6580d9e87d23f366d81927a2c7e67ee7dbb2894304aeb,3万5500円／月（委託(通勤)）,無,3階,-
ネオコーポ西大島 　【マンション】,3480万円,東京都江東区北砂２-15-35,都営新宿線「西大島」歩10分,51.72m,1LDK+S（納戸）,バルコニー面積：6.6m,1984年3月,2023/01/04 15:47,355aa266e5f7dc695ddd6f786d10cb779779846a3bef3b6c607d4592b2c3e017,9410円／月（委託(通勤)）,1万560円／月,1階,71戸
パラスト芦花公園 　【マンション】,3490万円,東京都世田谷区粕谷２,京王線「八幡山」歩10分,50.4m,1LDK+S（納戸）,バルコニー面積：7.16m,1977年7月,2023/01/04 15:48,d3487a698e71a6e0b1468031ca1d2e8fb3dca4da2b1669d2aa3ba7b117da0e6e,1万100円／月（委託(常駐)）,7600円／月,8階,92戸
コスモ大島 　【マンション】,3490万円,東京都江東区北砂６-19-11,都営新宿線「大島」歩8分,61.79m,3LDK,バルコニー面積：5.77m,1986年9月,2023/01/04 15:48,42097a680181fb96d3653991d3eb37a7798f2034b6e826d101feaf44db46a3cc,1万4605円／月（委託(通勤)）,1万1120円／月,1階,-
ルーブルかな杉 　【マンション】,3498万円,東京都台東区竜泉１-27－6,東京メトロ日比谷線「入谷」歩5分,51.3m,2LDK,バルコニー面積：4.86m,1982年3月,2023/01/04 15:48,710868c9416e483c157da5bb2b1e1eabc7a7f534da01b9d160300429e812a665,1万2410円／月（委託(巡回)）,1万9010円／月,3階,36戸
